provider_state,drg_definition,drg_definition
CA,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,273
TX,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,255
FL,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,165
NY,292 - HEART FAILURE & SHOCK W CC,158
PA,292 - HEART FAILURE & SHOCK W CC,139
OH,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,126
IL,292 - HEART FAILURE & SHOCK W CC,126
,,
FL,638 - DIABETES W CC,125
PA,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,125
FL,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,125
FL,101 - SEIZURES W/O MCC,125
CA,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,124
PA,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,124
IL,194 - SIMPLE PNEUMONIA & PLEURISY W CC,124
TX,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",124
NY,682 - RENAL FAILURE W MCC,124
FL,948 - SIGNS & SYMPTOMS W/O MCC,124
FL,300 - PERIPHERAL VASCULAR DISORDERS W CC,124
IL,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,123
FL,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",123
PA,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,123
NY,069 - TRANSIENT ISCHEMIA,123
PA,312 - SYNCOPE & COLLAPSE,123
OH,194 - SIMPLE PNEUMONIA & PLEURISY W CC,123
CA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,123
IL,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,123
PA,378 - G.I. HEMORRHAGE W CC,123
IL,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",123
IL,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,122
IL,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,122
PA,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,122
IL,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,122
FL,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,121
PA,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,121
FL,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,121
PA,683 - RENAL FAILURE W CC,121
IL,603 - CELLULITIS W/O MCC,120
NY,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",120
NY,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,120
IL,812 - RED BLOOD CELL DISORDERS W/O MCC,120
IL,291 - HEART FAILURE & SHOCK W MCC,120
TX,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,119
OH,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,119
FL,377 - G.I. HEMORRHAGE W MCC,119
FL,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,119
TX,389 - G.I. OBSTRUCTION W CC,119
OH,292 - HEART FAILURE & SHOCK W CC,119
FL,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",119
FL,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",119
OH,603 - CELLULITIS W/O MCC,118
TX,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,118
OH,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",118
OH,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",118
FL,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,117
OH,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,117
IL,293 - HEART FAILURE & SHOCK W/O CC/MCC,117
NY,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,117
NY,638 - DIABETES W CC,117
TX,377 - G.I. HEMORRHAGE W MCC,117
NY,948 - SIGNS & SYMPTOMS W/O MCC,117
TX,948 - SIGNS & SYMPTOMS W/O MCC,116
CA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,116
OH,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,116
FL,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,115
TX,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,115
CA,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",115
IL,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,114
IL,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,114
CA,948 - SIGNS & SYMPTOMS W/O MCC,114
IL,378 - G.I. HEMORRHAGE W CC,114
IL,312 - SYNCOPE & COLLAPSE,114
IL,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,114
OH,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,114
FL,390 - G.I. OBSTRUCTION W/O CC/MCC,113
FL,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,113
PA,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,113
NY,101 - SEIZURES W/O MCC,113
OH,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,112
TX,300 - PERIPHERAL VASCULAR DISORDERS W CC,112
OH,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,112
TX,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,111
